title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
Lethal Weapon 4,0,0,0,0,[],Action
Leviathan,26,22,3,1,False,Action
"Life of David Gale, The",18,17,1,0,True,Action
Limitless,34,27,6,1,True,Action
"Lincoln Lawyer, The",17,9,7,1,True,Action
"Lock, Stock and Two Smoking Barrels",78,71,7,0,True,Action
"Long Kiss Goodnight, The",81,71,5,5,True,Action
Lord of Illusions,26,25,1,0,True,Action
Lord of War,39,39,0,0,True,Action
"Losers, The",7,1,6,0,True,Action
Lost Highway,14,11,2,1,True,Action
Machete,33,31,2,0,True,Action
Man On Fire,12,10,2,0,True,Action
"Man Who Knew Too Much, The",0,0,0,0,[],Action
"Manchurian Candidate, The",12,5,7,0,True,Action
Manhunter,7,5,2,0,True,Action
Margin Call,66,59,7,0,True,Action
"Mariachi, El",0,0,0,0,[],Action
Martha Marcy May Marlene,13,11,2,0,True,Action
"Matrix Reloaded, The",21,20,1,0,True,Action
"Matrix, The",5,4,1,0,True,Action
Max Payne,1,0,1,0,True,Action
"Mechanic, The",7,6,1,0,True,Action
Memento,52,48,4,0,True,Action
Metro,51,36,12,3,True,Action
Miami Vice,15,15,0,0,True,Action
Midnight Express,47,40,6,1,True,Action
Miller's Crossing,0,0,0,0,[],Action
Mimic,14,12,2,0,True,Action
Minority Report,10,9,1,0,True,Action
Mirrors,3,3,0,0,True,Action
Misery,5,2,1,2,True,Action
Mission Impossible,1,0,0,1,True,Action
Mission Impossible II,2,0,1,1,True,Action
Mission to Mars,1,0,1,0,True,Action
Moon,17,12,5,0,True,Action
Mr Brooks,25,23,1,1,True,Action
Mulholland Drive,1,0,0,1,True,Action
Mute Witness,5,2,3,0,True,Action
Natural Born Killers,41,19,15,7,True,Action
Next,1,0,1,0,True,Action
"Next Three Days, The",3,1,1,1,True,Action
Nick of Time,14,11,2,1,True,Action
"Nines, The",14,9,5,0,True,Action
Ninja Assassin,14,14,0,0,True,Action
"Ninth Gate, The",1,1,0,0,True,Action
No Country for Old Men,1,0,0,1,True,Action
Nurse Betty,49,35,12,2,True,Action
Obsessed,5,5,0,0,True,Action
Ocean's Eleven,11,6,5,0,True,Action
Ocean's Twelve,3,1,2,0,True,Action
Omega Man,0,0,0,0,[],Action
Only God Forgives,22,22,0,0,True,Action
Out of Sight,45,29,16,0,True,Action
Outbreak,0,0,0,0,[],Action
"Pacifier, The",0,0,0,0,[],Action
Panic Room,27,23,4,0,True,Action
Peeping Tom,0,0,0,0,[],Action
Phone Booth,48,43,4,1,True,Action
Pi,11,10,1,0,True,Action
Pineapple Express,135,105,29,1,True,Action
Pitch Black,22,20,2,0,True,Action
Point Break,45,36,8,1,True,Action
Predator,8,4,3,1,True,Action
Prom Night,0,0,0,0,[],Action
"Prophecy, The",16,12,2,2,True,Action
Psycho,0,0,0,0,[],Action
Public Enemies,3,2,1,0,True,Action
Pulp Fiction,88,41,39,8,True,Action
Rear Window,0,0,0,0,[],Action
Red Planet,25,22,2,1,True,Action
Reindeer Games,39,34,5,0,True,Action
"Relic, The",3,0,3,0,True,Action
Reservoir Dogs,119,89,23,7,True,Action
Resident Evil,13,5,8,0,True,Action
"Revenant, The",4,1,1,2,True,Action
Ringu,0,0,0,0,[],Action
"Road, The",3,3,0,0,True,Action
Ronin,35,29,5,1,True,Action
"Roommate, The",3,0,2,1,True,Action
"Ruins, The",17,17,0,0,True,Action
S. Darko,29,23,6,0,True,Action
"Saint, The",1,0,1,0,True,Action
"Salton Sea, The",40,34,5,1,True,Action
Saw,23,19,4,0,True,Action
Scream,26,19,6,1,True,Action
Scream 2,8,4,3,1,True,Action
Scream 3,38,25,13,0,True,Action
Se7en,39,35,4,0,True,Action
Serenity,1,1,0,0,True,Action
Shallow Grave,3,3,0,0,True,Action
Sherlock Holmes,2,1,1,0,True,Action
Shifty,180,173,7,0,True,Action
"Shining, The",9,9,0,0,True,Action
"Siege, The",23,16,5,2,True,Action
Signs,0,0,0,0,[],Action
Silence of the Lambs,11,9,0,2,True,Action
Single White Female,10,5,2,3,True,Action
"Sixth Sense, The",0,0,0,0,[],Action
Sneakers,0,0,0,0,[],Action
So I Married an Axe Murderer,1,0,1,0,True,Action
Someone To Watch Over Me,16,14,2,0,True,Action
Source Code,8,8,0,0,True,Action
Spare Me,11,9,1,1,True,Action
Spartan,20,20,0,0,True,Action
Speed,0,0,0,0,[],Action
Sphere,20,17,3,0,True,Action
Star Trek: Nemesis,0,0,0,0,[],Action
Stir of Echoes,19,12,5,2,True,Action
Strange Days,38,30,7,1,True,Action
Strangers on a Train,0,0,0,0,[],Action
"Stuntman, The",21,14,2,5,True,Action
Super 8,14,8,6,0,True,Action
Superfights,0,0,0,0,[],Action
Surrogates,1,0,0,1,True,Action
Suspect Zero,20,20,0,0,True,Action
Swordfish,29,24,5,0,True,Action
Syriana,16,14,2,0,True,Action
Take Shelter,5,2,3,0,True,Action
Taking Lives,13,8,3,2,True,Action
"Taking of Pelham One Two Three, The",17,13,3,1,True,Action
"Talented Mr. Ripley, The",4,4,0,0,True,Action
Taxi Driver,19,17,2,0,True,Action
Terminator,9,9,0,0,True,Action
Terminator 2: Judgement Day,0,0,0,0,[],Action
Terminator Salvation,6,1,4,1,True,Action
The Rage: Carrie 2,0,0,0,0,[],Action
Thelma & Louise,0,0,0,0,[],Action
They,6,3,3,0,True,Action
"Thing, The",8,5,3,0,True,Action
Thunderheart,32,22,9,1,True,Action
Ticker,10,9,1,0,True,Action
Timber Falls,28,25,1,2,True,Action
Tinker Tailor Soldier Spy,6,6,0,0,True,Action
Tomorrow Never Dies,0,0,0,0,[],Action
Total Recall,2,1,1,0,True,Action
"Tourist, The",1,1,0,0,True,Action
Traffic,45,38,7,0,True,Action
