title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
Star Wars: The Phantom Menace,0,0,0,0,[],Action
Starship Troopers,1,0,0,1,True,Action
Strange Days,38,30,7,1,True,Action
"Stuntman, The",21,14,2,5,True,Action
Superfights,0,0,0,0,[],Action
Supergirl,0,0,0,0,[],Action
Surrogates,1,0,0,1,True,Action
Swordfish,29,24,5,0,True,Action
Terminator,9,9,0,0,True,Action
Terminator 2: Judgement Day,0,0,0,0,[],Action
Terminator Salvation,6,1,4,1,True,Action
Thelma & Louise,0,0,0,0,[],Action
"Thing, The",8,5,3,0,True,Action
Thor,0,0,0,0,[],Action
Thor Ragnarok,1,0,1,0,True,Action
Three Kings,57,49,8,0,True,Action
Three Kings (Spoils of War),4,2,1,1,True,Action
"Three Musketeers, The",0,0,0,0,[],Action
Thunderbirds,0,0,0,0,[],Action
Ticker,10,9,1,0,True,Action
"Time Machine, The",0,0,0,0,[],Action
TMNT,0,0,0,0,[],Action
Tombstone,0,0,0,0,[],Action
Tomorrow Never Dies,0,0,0,0,[],Action
Top Gun,3,0,3,0,True,Action
Total Recall,2,1,1,0,True,Action
"Tourist, The",1,1,0,0,True,Action
Training Day,104,62,37,5,True,Action
Transformers: The Movie,0,0,0,0,[],Action
Tristan and Isolde,0,0,0,0,[],Action
TRON,0,0,0,0,[],Action
TRON: Legacy,0,0,0,0,[],Action
Tropic Thunder,24,17,6,1,True,Action
Troy,0,0,0,0,[],Action
True Lies,8,2,2,4,True,Action
True Romance,94,64,23,7,True,Action
Twins,4,1,3,0,True,Action
V for Vendetta,7,6,1,0,True,Action
Virtuosity,8,5,2,1,True,Action
Walking Tall,1,1,0,0,True,Action
Wanted,26,18,6,2,True,Action
War for the Planet of the Apes,2,1,1,0,True,Action
War of the Worlds,2,0,2,0,True,Action
Warrior,7,1,6,0,True,Action
Watchmen,1,0,1,0,True,Action
Whiteout,4,3,1,0,True,Action
Who Framed Roger Rabbit?,0,0,0,0,[],Action
"Wild Bunch, The",1,0,0,1,True,Action
Wild Hogs,5,0,3,2,True,Action
Wild Things: Diamonds in the Rough,0,0,0,0,[],Action
Wild Wild West,1,1,0,0,True,Action
Willow,0,0,0,0,[],Action
Wonder Woman,0,0,0,0,[],Action
"World is not Enough, The",0,0,0,0,[],Action
"X-Files: Fight the Future, The",0,0,0,0,[],Action
X-Men,0,0,0,0,[],Action
X-Men Origins: Wolverine,0,0,0,0,[],Action
xXx,4,0,2,2,True,Action
