title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
Broken Arrow,2,2,0,0,True,Crime
Broken Embraces,5,5,0,0,True,Crime
"Brothers Bloom, The",10,5,5,0,True,Crime
Bruce Almighty,0,0,0,0,[],Crime
Buffy the Vampire Slayer,6,2,2,2,True,Crime
Bull Durham,25,15,8,2,True,Crime
Buried,9,8,1,0,True,Crime
Burlesque,5,0,3,2,True,Crime
Burn After Reading,32,27,5,0,True,Crime
Burning Annie,13,6,7,0,True,Crime
"Butterfly Effect, The",31,23,7,1,True,Crime
Cable Guy,0,0,0,0,[],Crime
Candle to Water,51,44,6,1,True,Crime
Capote,2,2,0,0,True,Crime
Carrie,7,3,4,0,True,Crime
Cars 2,0,0,0,0,[],Crime
Casablanca,0,0,0,0,[],Crime
Case 39,2,2,0,0,True,Crime
Casino,117,108,9,0,False,Crime
Cast Away,17,16,0,1,True,Crime
Catch Me If You Can,11,7,2,2,True,Crime
Catwoman,0,0,0,0,[],Crime
Cecil B. Demented,33,31,0,2,True,Crime
Cedar Rapids,36,28,8,0,True,Crime
Celeste & Jesse Forever,0,0,0,0,[],Crime
"Cell, The",8,8,0,0,True,Crime
Cellular,10,1,8,1,True,Crime
"Change-Up, The",128,114,12,2,True,Crime
Changeling,4,4,0,0,True,Crime
Chaos,11,6,5,0,True,Crime
Charade,0,0,0,0,[],Crime
Charlie's Angels,3,2,1,0,True,Crime
Chasing Amy,136,100,21,15,True,Crime
Chasing Sleep,15,11,3,1,True,Crime
Cherry Falls,30,25,5,0,True,Crime
Chinatown,5,1,2,2,True,Crime
Christ Complex,24,23,1,0,True,Crime
Chronicle,88,76,12,0,True,Crime
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,0,0,0,[],Crime
"Cider House Rules, The",1,0,1,0,True,Crime
"Cincinnati Kid, The",2,0,0,2,True,Crime
Cinema Paradiso,10,8,2,0,True,Crime
Cirque du Freak: The Vampire's Assistant,0,0,0,0,[],Crime
Citizen Kane,0,0,0,0,[],Crime
City of Joy,0,0,0,0,[],Crime
Clash of the Titans,0,0,0,0,[],Crime
Clerks,85,69,16,0,True,Crime
Cliffhanger,23,19,2,2,True,Crime
"Clockwork Orange, A",0,0,0,0,[],Crime
Clueless,2,0,1,1,True,Crime
Cobb,44,33,6,5,True,Crime
Coco,0,0,0,0,[],Crime
Code of Silence,18,11,7,0,True,Crime
Cold Mountain,5,1,4,0,True,Crime
Collateral,0,0,0,0,[],Crime
Collateral Damage,17,11,5,1,True,Crime
Colombiana,10,6,2,2,True,Crime
Color of Night,61,44,14,3,True,Crime
Commando,0,0,0,0,[],Crime
Conan the Barbarian,0,0,0,0,[],Crime
Confessions of a Dangerous Mind,51,46,5,0,True,Crime
Confidence,57,43,11,3,True,Crime
Constantine,10,1,9,0,True,Crime
Contact,0,0,0,0,[],Crime
"Cooler, The",52,46,6,0,True,Crime
Copycat,16,10,3,3,True,Crime
Coraline,0,0,0,0,[],Crime
Coriolanus,0,0,0,0,[],Crime
Courage Under Fire,0,0,0,0,[],Crime
Cowboys & Aliens,0,0,0,0,[],Crime
Cradle 2 the Grave,32,21,9,2,True,Crime
Crank,46,23,15,8,True,Crime
Crash,3,2,0,1,True,Crime
"Crazy, Stupid, Love",7,4,3,0,True,Crime
Crazylove,6,6,0,0,True,Crime
Creation,1,0,1,0,True,Crime
Crime Spree,14,11,2,1,True,Crime
"Croods, The",0,0,0,0,[],Crime
"Crouching Tiger, Hidden Dragon",0,0,0,0,[],Crime
Croupier,22,18,3,1,True,Crime
"Crow Salvation, The",31,24,4,3,True,Crime
"Crow, The",27,21,4,2,True,Crime
"Crow: City of Angels, The",0,0,0,0,[],Crime
Cruel Intentions,31,26,5,0,True,Crime
Crying Game,64,58,2,4,True,Crime
Cube,23,23,0,0,True,Crime
"Curious Case of Benjamin Button, The",5,1,4,0,True,Crime
Custody,3,2,1,0,True,Crime
Dallas Buyers Club,42,28,14,0,True,Crime
"Damned United, The",56,56,0,0,True,Crime
Dances with Wolves,1,0,0,1,True,Crime
"Danish Girl, The",0,0,0,0,[],Crime
Dark City,1,1,0,0,True,Crime
"Dark Knight Rises, The",0,0,0,0,[],Crime
"Dark Knight, The",0,0,0,0,[],Crime
Dark Star,3,3,0,0,True,Crime
Darkman,9,6,0,3,True,Crime
Date Night,2,1,1,0,True,Crime
Dave Barry's Complete Guide to Guys,4,0,4,0,True,Crime
