title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Cunt_Count,Profanity
Catch Me If You Can,14,7,5,2,0,True
Catwoman,0,0,0,0,0,[]
Cecil B. Demented,40,33,2,5,0,True
Cedar Rapids,53,34,17,0,2,True
Celeste & Jesse Forever,0,0,0,0,0,[]
"Cell, The",15,8,2,2,3,True
Cellular,32,2,23,7,0,True
"Change-Up, The",152,122,25,4,1,True
Changeling,4,4,0,0,0,True
Chaos,27,8,17,1,1,True
Charade,0,0,0,0,0,[]
Charlie's Angels,12,2,7,3,0,True
Chasing Amy,168,108,41,19,0,True
Chasing Sleep,23,11,6,6,0,True
Cherry Falls,37,29,8,0,0,True
Chinatown,10,1,2,7,0,True
Christ Complex,30,29,1,0,0,True
Chronicle,110,83,26,1,0,True
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,0,0,0,0,[]
"Cider House Rules, The",2,0,2,0,0,True
"Cincinnati Kid, The",2,0,0,2,0,True
Cinema Paradiso,10,8,2,0,0,True
Cirque du Freak: The Vampire's Assistant,0,0,0,0,0,[]
Citizen Kane,0,0,0,0,0,[]
City of Joy,0,0,0,0,0,[]
Clash of the Titans,1,0,1,0,0,True
Clerks,118,78,35,2,3,True
Cliffhanger,26,20,3,3,0,True
"Clockwork Orange, A",0,0,0,0,0,[]
Clueless,11,0,10,1,0,True
Cobb,53,33,12,8,0,True
Coco,0,0,0,0,0,[]
Code of Silence,24,12,12,0,0,True
Cold Mountain,10,3,6,1,0,True
Collateral,0,0,0,0,0,[]
Collateral Damage,24,12,10,2,0,True
Colombiana,28,13,7,8,0,True
Color of Night,69,46,17,5,1,True
Commando,0,0,0,0,0,[]
Conan the Barbarian,0,0,0,0,0,[]
Confessions of a Dangerous Mind,66,56,8,2,0,True
Confidence,71,48,20,3,0,True
Constantine,16,2,13,1,0,True
Contact,0,0,0,0,0,[]
"Cooler, The",70,53,14,3,0,True
Copycat,26,13,5,8,0,True
Coraline,0,0,0,0,0,[]
Coriolanus,0,0,0,0,0,[]
Courage Under Fire,0,0,0,0,0,[]
Cowboys & Aliens,0,0,0,0,0,[]
Cradle 2 the Grave,46,24,19,3,0,True
Crank,75,31,31,13,0,True
Crash,3,2,0,1,0,True
"Crazy, Stupid, Love",14,5,8,1,0,True
Crazylove,10,8,0,2,0,True
Creation,2,0,2,0,0,True
Crime Spree,22,13,8,1,0,True
"Croods, The",0,0,0,0,0,[]
"Crouching Tiger, Hidden Dragon",0,0,0,0,0,[]
Croupier,30,18,10,2,0,True
"Crow Salvation, The",43,32,8,3,0,True
"Crow, The",36,23,9,4,0,True
"Crow: City of Angels, The",0,0,0,0,0,[]
Cruel Intentions,50,31,14,5,0,True
Crying Game,78,64,2,7,5,True
Cube,26,24,1,1,0,True
"Curious Case of Benjamin Button, The",7,2,5,0,0,True
Custody,5,2,2,1,0,True
Dallas Buyers Club,60,32,24,4,0,True
"Damned United, The",58,57,1,0,0,True
Dances with Wolves,2,0,0,2,0,True
"Danish Girl, The",0,0,0,0,0,[]
Dark City,5,1,4,0,0,True
"Dark Knight Rises, The",2,0,0,2,0,True
"Dark Knight, The",0,0,0,0,0,[]
Dark Star,4,3,1,0,0,True
Darkman,12,7,1,4,0,True
Date Night,14,2,9,3,0,True
Dave Barry's Complete Guide to Guys,7,0,7,0,0,True
Dawn of the Dead,10,2,6,2,0,True
Day of the Dead,15,4,11,0,0,True
"Day the Clown Cried, The",0,0,0,0,0,[]
"Day the Earth Stood Still, The",0,0,0,0,0,[]
Days of Heaven,6,1,5,0,0,True
Dead Poets Society,1,0,1,0,0,True
Deadpool,43,24,18,1,0,True
Dear White People,51,30,12,9,0,True
Death at a Funeral,23,3,20,0,0,True
Death to Smoochy,44,35,9,0,0,True
"Debt, The",26,23,3,0,0,True
Deception,8,6,2,0,0,True
Deep Cover,50,28,17,5,0,True
Deep Rising,26,4,21,1,0,True
"Deer Hunter, The",45,33,10,2,0,True
Defiance,23,6,16,1,0,True
"Departed, The",150,130,15,2,3,True
"Descendants, The",34,21,11,2,0,True
Despicable Me 2,0,0,0,0,0,[]
Detroit Rock City,48,21,23,4,0,True
Devil in a Blue Dress,11,4,7,0,0,True
"Devil Wears Prada, The",3,0,3,0,0,True
Devil's Advocate,55,46,6,3,0,True
Die Hard,30,23,7,0,0,True
Die Hard 2,56,41,15,0,0,True
Diner,12,4,7,1,0,True
"Distinguished Gentleman, The",25,8,15,2,0,True
Disturbia,28,2,24,2,0,True
Django Unchained,37,20,13,4,0,True
Do The Right Thing,73,48,24,1,0,True
Dog Day Afternoon,47,28,15,3,1,True
Dogma,120,66,42,12,0,True
Donnie Brasco,209,202,6,1,0,True
Donnie Darko,0,0,0,0,0,[]
"Doors, The",114,92,18,0,4,True
Double Indemnity,0,0,0,0,0,[]
Drag Me to Hell,6,3,0,3,0,True
Dragonslayer,0,0,0,0,0,[]
Drive,42,41,0,0,1,True
Drive Angry,77,59,10,8,0,True
Drop Dead Gorgeous,11,2,3,6,0,True
"Dry White Season, A",8,3,4,0,1,True
Duck Soup,0,0,0,0,0,[]
Dumb and Dumber,12,3,7,2,0,True
Dune,0,0,0,0,0,[]
E.T.,0,0,0,0,0,[]
Eagle Eye,42,21,21,0,0,True
Eastern Promises,38,33,0,5,0,True
Easy A,48,35,4,6,3,True
Ed TV,5,0,5,0,0,True
Ed Wood,15,8,6,1,0,True
Edward Scissorhands,1,0,1,0,0,True
Eight Legged Freaks,5,1,3,1,0,True
El Mariachi,0,0,0,0,0,[]
Election,14,10,0,3,1,True
"Elephant Man, The",0,0,0,0,0,[]
Elizabeth: The Golden Age,0,0,0,0,0,[]
Enemy of the State,27,19,8,0,0,True
"English Patient, The",9,8,0,1,0,True
Enough,6,3,2,1,0,True
Entrapment,36,18,16,2,0,True
Equilibrium,0,0,0,0,0,[]
Erik the Viking,0,0,0,0,0,[]
Erin Brockovich,62,31,26,5,0,True
Escape From L.A.,16,3,13,0,0,True
Escape From New York,12,3,7,2,0,True
Eternal Sunshine of the Spotless Mind,42,29,13,0,0,True
Even Cowgirls Get the Blues,13,3,8,2,0,True
Event Horizon,15,11,3,1,0,True
Evil Dead,2,0,2,0,0,True
Evil Dead II: Dead by Dawn,0,0,0,0,0,[]
Ex Machina,31,27,4,0,0,True
Excalibur,0,0,0,0,0,[]
Executive Decision,0,0,0,0,0,[]
eXistenZ,0,0,0,0,0,[]
Extract,18,0,18,0,0,True
Eyes Wide Shut,0,0,0,0,0,[]
"Fabulous Baker Boys, The",34,27,7,0,0,True
Face Off,19,13,6,0,0,True
Fair Game,22,20,1,1,0,True
"Family Man, The",4,1,3,0,0,True
Fantastic Four,0,0,0,0,0,[]
Fantastic Mr Fox,0,0,0,0,0,[]
Fargo,39,36,2,1,0,True
Fast Times at Ridgemont High,16,9,7,0,0,True
Fatal Instinct,3,0,3,0,0,True
"Fault in Our Stars, The",9,3,6,0,0,True
Fear and Loathing in Las Vegas,63,44,16,3,0,True
Feast,40,18,18,3,1,True
Ferris Bueller's Day Off,25,0,24,1,0,True
Field of Dreams,9,4,4,1,0,True
"Fifth Element, The",16,8,7,1,0,True
Fight Club,48,32,12,4,0,True
"Fighter, The",34,23,10,1,0,True
Final Destination,25,20,5,0,0,True
Final Destination 2,36,19,14,3,0,True
Finding Nemo,0,0,0,0,0,[]
Five Easy Pieces,13,1,10,2,0,True
Flash Gordon,1,0,0,1,0,True
Fletch,0,0,0,0,0,[]
Flight,76,54,18,4,0,True
"Flintstones, The",0,0,0,0,0,[]
Forrest Gump,11,3,7,1,0,True
Four Feathers,0,0,0,0,0,[]
Four Rooms,60,48,8,4,0,True
Foxcatcher,10,6,4,0,0,True
Fracture,7,2,4,1,0,True
Frances,14,7,3,4,0,True
Frankenstein,0,0,0,0,0,[]
Frankenweenie,0,0,0,0,0,[]
Freaked,15,3,12,0,0,True
Freddy vs. Jason,53,5,6,42,0,True
"French Connection, The",12,2,9,1,0,True
Frequency,20,16,4,0,0,True
Friday the 13th,4,2,2,0,0,True
Friday the 13th Part VIII: Jason Takes Manhattan,0,0,0,0,0,[]
Fright Night,33,17,14,2,0,True
Fright Night (1985),4,3,1,0,0,True
From Dusk Till Dawn,85,46,36,3,0,True
From Here to Eternity,0,0,0,0,0,[]
Frozen,53,28,25,0,0,True
Frozen (Disney),0,0,0,0,0,[]
Frozen River,12,2,6,4,0,True
Fruitvale Station,106,62,32,12,0,True
"Fugitive, The",2,0,2,0,0,True
Full Metal Jacket,0,0,0,0,0,[]
Funny People,148,95,49,4,0,True
Fury,0,0,0,0,0,[]
G.I. Jane,22,12,9,1,0,True
G.I. Joe: The Rise of Cobra,0,0,0,0,0,[]
Game 6,2,0,1,1,0,True
"Game, The",62,43,16,3,0,True
Gamer,61,34,21,5,1,True
Gandhi,0,0,0,0,0,[]
Gang Related,64,29,34,1,0,True
Gangs of New York,2,0,0,2,0,True
Garden State,80,57,17,5,1,True
Gattaca,3,2,1,0,0,True
Get Carter,12,2,6,4,0,True
Get Low,4,1,1,2,0,True
Get on Up,21,4,16,1,0,True
Get Out,49,24,23,2,0,True
Get Shorty,0,0,0,0,0,[]
"Getaway, The",0,0,0,0,0,[]
Ghost,9,4,4,1,0,True
"Ghost and the Darkness, The",4,2,1,1,0,True
Ghost Rider,51,44,7,0,0,True
Ghost Ship,25,16,6,3,0,True
Ghost World,30,21,5,3,1,True
Ghostbusters,0,0,0,0,0,[]
Ghostbusters 2,1,0,1,0,0,True
Ginger Snaps,0,0,0,0,0,[]
"Girl with the Dragon Tattoo, The",8,8,0,0,0,True
Gladiator,1,0,1,0,0,True
Glengarry Glen Gross,137,118,17,0,2,True
Go,88,58,26,4,0,True
Godfather,2,0,0,2,0,True
Godfather Part II,5,2,1,2,0,True
"Godfather Part III, The",13,3,8,1,1,True
Gods and Monsters,18,11,5,2,0,True
Godzilla,1,0,1,0,0,True
Gone Baby Gone,75,49,19,6,1,True
Gone in 60 Seconds,35,9,26,0,0,True
"Good Girl, The",7,4,3,0,0,True
Good Will Hunting,51,34,14,3,0,True
Goodfellas,0,0,0,0,0,[]
Gothika,20,12,6,2,0,True
Grabbers,20,9,9,1,1,True
"Graduate, The",0,0,0,0,0,[]
Gran Torino,55,30,11,14,0,True
Grand Hotel,0,0,0,0,0,[]
Grand Theft Parsons,14,2,8,4,0,True
"Grapes of Wrath, The",0,0,0,0,0,[]
Gravity,6,1,4,1,0,True
"Great Gatsby, The",1,0,0,1,0,True
"Green Mile, The",24,12,7,5,0,True
Gremlins,3,1,1,1,0,True
Gremlins 2,1,0,1,0,0,True
"Grifters, The",8,3,4,1,0,True
Grosse Point Blank,19,18,1,0,0,True
Groundhog Day,1,0,1,0,0,True
"Grudge, The",0,0,0,0,0,[]
Guardians of the Galaxy Vol 2,3,0,3,0,0,True
Hackers,20,1,18,1,0,True
Hall Pass,6,1,5,0,0,True
Halloween,26,11,11,4,0,True
Halloween: The Curse of Michael Myers,0,0,0,0,0,[]
Hancock,37,21,14,2,0,True
"Hangover, The",13,3,8,2,0,True
Hanna,13,7,5,1,0,True
Hannah and Her Sisters,1,1,0,0,0,True
Hannibal,2,2,0,0,0,True
"Happy Birthday, Wanda June",18,6,5,7,0,True
Happy Feet,0,0,0,0,0,[]
Hard Rain,12,2,9,1,0,True
Hard to Kill,28,17,10,1,0,True
Harold and Kumar Go to White Castle,106,53,51,2,0,True
Harry Potter and the Chamber of Secrets,0,0,0,0,0,[]
Harry Potter and the Deathly Hallows Part 1,0,0,0,0,0,[]
Harry Potter and the Goblet of Fire,0,0,0,0,0,[]
Harry Potter and the Half-Blood Prince,0,0,0,0,0,[]
Harry Potter and the Prisoner of Azkaban,0,0,0,0,0,[]
Harry Potter and the Sorcerer's Stone,0,0,0,0,0,[]
"Haunting, The",7,3,3,1,0,True
He's Just Not That Into You,16,1,15,0,0,True
Heat,51,42,6,3,0,True
