title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Cunt_Count,Profanity
Buffy the Vampire Slayer,11,2,3,6,0,TRUE
Bull Durham,47,23,20,4,0,TRUE
Buried,15,8,5,2,0,TRUE
Burlesque,22,0,16,6,0,TRUE
Burn After Reading,68,49,16,3,0,TRUE
Burning Annie,25,8,16,1,0,TRUE
The Butterfly Effect,46,29,15,2,0,TRUE
Cable Guy,6,0,3,3,0,TRUE
Candle to Water,75,54,11,10,0,TRUE
Capote,2,2,0,0,0,TRUE
Carrie,17,3,13,1,0,TRUE
Cars 2,0,0,0,0,0,[]
Casablanca,0,0,0,0,0,[]
Case 39,4,3,1,0,0,TRUE
Casino,186,149,31,5,1,TRUE
Cast Away,33,19,13,1,0,TRUE
Catch Me If You Can,14,7,5,2,0,TRUE
Catwoman,0,0,0,0,0,[]
Cecil B. Demented,40,33,2,5,0,TRUE
Cedar Rapids,53,34,17,0,2,TRUE
Celeste & Jesse Forever,0,0,0,0,0,[]
The Cell,15,8,2,2,3,TRUE
Cellular,32,2,23,7,0,TRUE
The Change-Up,152,122,25,4,1,TRUE
Changeling,4,4,0,0,0,TRUE
Chaos,27,8,17,1,1,TRUE
Charade,0,0,0,0,0,[]
Charlie's Angels,12,2,7,3,0,TRUE
Chasing Amy,168,108,41,19,0,TRUE
Chasing Sleep,23,11,6,6,0,TRUE
Cherry Falls,37,29,8,0,0,TRUE
Chinatown,10,1,2,7,0,TRUE
Christ Complex,30,29,1,0,0,TRUE
Chronicle,110,83,26,1,0,TRUE
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,0,0,0,0,[]
The Cider House Rules,2,0,2,0,0,TRUE
The Cincinnati Kid,2,0,0,2,0,TRUE
Cinema Paradiso,10,8,2,0,0,TRUE
Cirque du Freak: The Vampire's Assistant,0,0,0,0,0,[]
Citizen Kane,0,0,0,0,0,[]
City of Joy,0,0,0,0,0,[]
Clash of the Titans,1,0,1,0,0,TRUE
Clerks,118,78,35,2,3,TRUE
Cliffhanger,26,20,3,3,0,TRUE
"Clockwork Orange, A",0,0,0,0,0,[]
Clueless,11,0,10,1,0,TRUE
Cobb,53,33,12,8,0,TRUE
Coco,0,0,0,0,0,[]
Code of Silence,24,12,12,0,0,TRUE
Cold Mountain,10,3,6,1,0,TRUE
Collateral,0,0,0,0,0,[]
Collateral Damage,24,12,10,2,0,TRUE
Colombiana,28,13,7,8,0,TRUE
Color of Night,69,46,17,5,1,TRUE
Commando,0,0,0,0,0,[]
Conan the Barbarian,0,0,0,0,0,[]
Confessions of a Dangerous Mind,66,56,8,2,0,TRUE
Confidence,71,48,20,3,0,TRUE
Constantine,16,2,13,1,0,TRUE
Contact,0,0,0,0,0,[]
The Cooler,70,53,14,3,0,TRUE
Copycat,26,13,5,8,0,TRUE
Coraline,0,0,0,0,0,[]
Coriolanus,0,0,0,0,0,[]
Courage Under Fire,0,0,0,0,0,[]
Cowboys & Aliens,0,0,0,0,0,[]
