title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
Eyes Wide Shut,0,0,0,0,[],Crime
"Fabulous Baker Boys, The",34,27,7,0,True,Crime
Face Off,19,13,6,0,True,Crime
Fair Game,22,20,1,1,True,Crime
"Family Man, The",4,1,3,0,True,Crime
Fantastic Four,0,0,0,0,[],Crime
Fantastic Mr Fox,0,0,0,0,[],Crime
Fargo,39,36,2,1,True,Crime
Fast Times at Ridgemont High,16,9,7,0,True,Crime
Fatal Instinct,3,0,3,0,True,Crime
"Fault in Our Stars, The",9,3,6,0,True,Crime
Fear and Loathing in Las Vegas,60,41,16,3,True,Crime
Feast,38,17,18,3,True,Crime
Ferris Bueller's Day Off,25,0,24,1,True,Crime
Field of Dreams,9,4,4,1,True,Crime
"Fifth Element, The",16,8,7,1,True,Crime
Fight Club,47,31,12,4,True,Crime
"Fighter, The",34,23,10,1,True,Crime
Final Destination,25,20,5,0,True,Crime
Final Destination 2,36,19,14,3,True,Crime
Finding Nemo,0,0,0,0,[],Crime
Five Easy Pieces,13,1,10,2,True,Crime
Flash Gordon,1,0,0,1,True,Crime
Fletch,0,0,0,0,[],Crime
Flight,75,53,18,4,True,Crime
"Flintstones, The",0,0,0,0,[],Crime
Forrest Gump,11,3,7,1,True,Crime
Four Feathers,0,0,0,0,[],Crime
Four Rooms,60,48,8,4,True,Crime
Foxcatcher,9,5,4,0,True,Crime
Fracture,7,2,4,1,True,Crime
Frances,14,7,3,4,True,Crime
Frankenstein,0,0,0,0,[],Crime
Frankenweenie,0,0,0,0,[],Crime
Freaked,15,3,12,0,True,Crime
Freddy vs. Jason,53,5,6,42,True,Crime
"French Connection, The",12,2,9,1,True,Crime
Frequency,19,16,3,0,True,Crime
Friday the 13th,4,2,2,0,True,Crime
Friday the 13th Part VIII: Jason Takes Manhattan,0,0,0,0,[],Crime
Fright Night,32,16,14,2,True,Crime
Fright Night (1985),4,3,1,0,True,Crime
From Dusk Till Dawn,84,45,36,3,True,Crime
From Here to Eternity,0,0,0,0,[],Crime
Frozen,51,26,25,0,True,Crime
Frozen (Disney),0,0,0,0,[],Crime
Frozen River,12,2,6,4,True,Crime
Fruitvale Station,106,62,32,12,True,Crime
"Fugitive, The",2,0,2,0,True,Crime
Full Metal Jacket,0,0,0,0,[],Crime
Funny People,147,94,49,4,True,Crime
Fury,0,0,0,0,[],Crime
G.I. Jane,22,12,9,1,True,Crime
G.I. Joe: The Rise of Cobra,0,0,0,0,[],Crime
Game 6,2,0,1,1,True,Crime
"Game, The",62,43,16,3,True,Crime
Gamer,59,33,21,5,True,Crime
Gandhi,0,0,0,0,[],Crime
Gang Related,64,29,34,1,True,Crime
Gangs of New York,2,0,0,2,True,Crime
Garden State,78,56,17,5,True,Crime
Gattaca,3,2,1,0,True,Crime
Get Carter,11,2,5,4,True,Crime
Get Low,4,1,1,2,True,Crime
Get on Up,21,4,16,1,True,Crime
Get Out,49,24,23,2,True,Crime
Get Shorty,0,0,0,0,[],Crime
"Getaway, The",0,0,0,0,[],Crime
Ghost,7,2,4,1,True,Crime
"Ghost and the Darkness, The",4,2,1,1,True,Crime
Ghost Rider,50,43,7,0,True,Crime
Ghost Ship,22,13,6,3,True,Crime
Ghost World,29,21,5,3,True,Crime
Ghostbusters,0,0,0,0,[],Crime
Ghostbusters 2,1,0,1,0,True,Crime
Ginger Snaps,0,0,0,0,[],Crime
"Girl with the Dragon Tattoo, The",8,8,0,0,True,Crime
Gladiator,1,0,1,0,True,Crime
Glengarry Glen Gross,135,118,17,0,True,Crime
Go,88,58,26,4,True,Crime
Godfather,2,0,0,2,True,Crime
